"timestamp","station_id","vehicle_id","hour_of_day","day_of_week","station_power_draw_kw","queue_time_mins","station_capacity_ev","charging_rate_kw","energy_drawn_kwh","fleet_size","temperature_c","grid_tariff_usd","tariff_source"
"2017-01-01 00:00:00","2","106","0","0","30.839677303086354","5.676949302510731","1","49.530709037912025","43.01222942901983","10","13.95436777542865","","MISSING__MERGE_REAL_TARIFF_SCHEDULE"
"2017-01-01 01:00:00","2","106","1","0","47.3546905543476","6.363058050459475","2","45.67612424947354","37.02465498690782","10","38.926465956204495","","MISSING__MERGE_REAL_TARIFF_SCHEDULE"
"2017-01-01 02:00:00","2","106","2","0","44.45919797721604","4.219566772358059","2","39.171251740476926","28.181674756818197","50","22.16451582255089","","MISSING__MERGE_REAL_TARIFF_SCHEDULE"
"2017-01-01 03:00:00","2","106","3","0","52.468800684852035","7.508617768062416","4","52.98092424306089","43.909071699814035","200","16.000844794380207","","MISSING__MERGE_REAL_TARIFF_SCHEDULE"
"2017-01-01 04:00:00","2","106","4","0","53.47375636390178","7.3190327756112685","2","35.79384742754594","58.99922402842408","10","23.17036760113368","","MISSING__MERGE_REAL_TARIFF_SCHEDULE"
"2017-01-01 05:00:00","2","106","5","0","63.17696242058638","0.2665096806553666","4","38.73920735668478","25.222368175164465","100","16.85671758714144","","MISSING__MERGE_REAL_TARIFF_SCHEDULE"
"2017-01-01 06:00:00","2","106","6","0","29.385101378706153","1.8296195076824868","4","49.2796874573039","27.073987872181462","10","18.856297753087496","","MISSING__MERGE_REAL_TARIFF_SCHEDULE"
"2017-01-01 07:00:00","2","106","7","0","32.82520904149533","1.095417016818107","4","35.33434538888409","26.489409889467694","50","30.237666342832103","","MISSING__MERGE_REAL_TARIFF_SCHEDULE"
"2017-01-01 08:00:00","2","106","8","0","30.255780905414248","1.1832464862963519","4","50.948785826656945","37.907291837072684","10","8.537351031402586","","MISSING__MERGE_REAL_TARIFF_SCHEDULE"
"2017-01-01 09:00:00","2","106","9","0","56.81517820664548","0.3062370047074003","1","53.75790430854412","29.602847027128636","10","21.854701116242182","","MISSING__MERGE_REAL_TARIFF_SCHEDULE"
"2017-01-01 10:00:00","2","106","10","0","43.73780846129654","0.6579927513024906","4","59.875988256806394","39.81015735566058","50","36.030713654127915","","MISSING__MERGE_REAL_TARIFF_SCHEDULE"
"2017-01-01 11:00:00","2","106","11","0","37.21220595550114","5.573742239638878","4","47.81518211390103","56.97239641824565","50","22.16835124461723","","MISSING__MERGE_REAL_TARIFF_SCHEDULE"
"2017-01-01 12:00:00","2","106","12","0","42.66809329106056","2.44092196361335","2","45.564097821171465","24.89886354662946","10","33.085091915101714","","MISSING__MERGE_REAL_TARIFF_SCHEDULE"
"2017-01-01 13:00:00","2","106","13","0","32.81084907084925","3.7769928468480396","2","62.234723332584785","50.99052772706249","200","12.585944975098517","","MISSING__MERGE_REAL_TARIFF_SCHEDULE"
"2017-01-01 14:00:00","2","106","14","0","42.92998303185259","6.505259708083065","4","51.810642951212024","26.706652646076005","50","15.500605735683875","","MISSING__MERGE_REAL_TARIFF_SCHEDULE"
"2017-01-01 15:00:00","2","106","15","0","35.617133865571205","0.8370397679448133","2","64.10197973271873","66.04398147186073","100","9.518978548840579","","MISSING__MERGE_REAL_TARIFF_SCHEDULE"
"2017-01-01 16:00:00","2","106","16","0","13.734896441220652","2.7283682459514136","6","37.7593811976362","45.28741221606249","10","5.957912354949993","","MISSING__MERGE_REAL_TARIFF_SCHEDULE"
"2017-01-01 17:00:00","2","106","17","0","27.309083319067675","0.47819812985439697","4","53.808279283282594","45.77909784897298","50","31.82764812786386","","MISSING__MERGE_REAL_TARIFF_SCHEDULE"
"2017-01-01 18:00:00","2","106","18","0","48.90588644593248","3.6349432668011588","4","60.83155904661016","35.95475622784622","200","10.807980446785601","","MISSING__MERGE_REAL_TARIFF_SCHEDULE"
"2017-01-01 19:00:00","2","106","19","0","46.04914516660657","0.5504527349569952","6","29.582381215672072","38.54565829040745","10","11.606430379647337","","MISSING__MERGE_REAL_TARIFF_SCHEDULE"
